District,SS,Toponym,Chrononym,Def,Context,Year,Comment,Latitude,Longitude,DISS
Пав,Крутогорский,Шайменский,АВДОКЕЯ,"день св. Евдокии, 14 марта",,2009 авг.,,,,
Пав,Крутогорский,Шайменский,АВДОКЕЯ,14 марта,"Если в АвдокЕю кАплет с потОка, то веснА бУдет хорОшая.",2009 авг.,,,,
Пав,Леденгский,Вторая Леденгская,АВДОТЬЯ-КАПУСТНИЦА,"день, когда сеяли капусту (до Егорьева Дня)","КапУсту сЕяли на АвдОтью-КапУстницу ‒ до ЕгОрьева Дня, до шестОго мАя.",2009 авг.,,,,
Нерех,Татарский,Блазново,АВДОТЬЯ-МАЛИНОВКА,"день в начале августа, когда в лесу поспевает малина","Авдотья-малиновка после Ильина дня когда-то, шли за малиной.",2019 лето,,,,
Парф,Матвеевский,Матвеево,АДАРЬЯ-НАСЕРИ В ПРОРУБЬ,"праздник, отмечаемый в марте","АдАрья ‒ насерИ в прОрубь. ПоИли лошадЕй у прОрубей. А лОшадь испражнЯется, и всё Это течЁт в прОрубь.",2006 авг.,,,,
Ост,Юрьевский,Кияново,АЛЕКСАНДРОВ ДЕНЬ,"праздник, отмечаемый в сентябре в б. д. Кияново",,2023 лето,,,,
Вохом,Вохомский,Вохма,АЛЕКСЕЕВ ДЕНЬ,31 марта ,"На АлексЕев день базАр в ВОхме, такОй был сИльный.",2012 лето,,,,
Вохом,Заветлужский,Юдино,АЛЕКСЕЕВ ДЕНЬ,31 марта,В АлексЕев День петух напьётся. // Это базарный день.,2012 лето,,,,
Вохом,Лапшинский,Покров,АЛЕКСЕЕВ ДЕНЬ,"праздник, отмечаемый 30 марта",Между Алексеевым Днем и Благовещеньем снег идет ‒ грибов будет много.,2011 авг.,,,,
Вохом,Сосновский,Хмелевка,АЛЕКСЕЕВСКАЯ,православный праздник 30 марта,"""Крешшение, потом БлаговЕщенье, Паска. // Раньше в Михайлов день ярмарка была, в Алексеевскую, в Благовешшенье и в этот, Вознесеньев день ‒ вот в эти дни ярмарки были.""",2012 лето,,,,
Окт,Луптюгский,Афонино,АЛЕКСЕЕВСКАЯ,день 29 марта,"РожествО, Васильев вечер, Крещенье, БлаговЕщенье, АлексЕевская, Паска, Троица ‒ это всё большие праздники.",2011 авг.,,,,
Вохом,Петрецовский,Никола,АЛЕКСЕЕВСКАЯ,30 марта,"На АлексЕевскую Ярмарка, со всегО райОна собирАлись.",2012 лето,,,,
Вохом,Вохомский,Вохма,АЛЕКСЕЕВСКАЯ,"православный праздник, отмечаемый 30 марта","АлексЕевская тридцатого марта. Каковы ручьи с гор, таковы вешние воды",2011 февраль,< д. Плоская Петрецовского с/с,,,
Вохом,Вохомский,Вохма,АЛЕКСЕЕВСКАЯ,30 марта,В АлексЕевскую в ВОхме Ярманка былА.,2011 февраль,,,,
Вохом,Вохомский,Вохма,АЛЕКСЕЕВСКАЯ,30 марта,На АлексЕевскую в ВОхму на базАр Ездим.,2009 авг.,,,,
Вохом,Обуховский,Шошино,АЛЕКСЕЕВСКАЯ,"православный праздник, отмечаемый 30 апреля","Раньше на АлексЕевскую пекли жАворонки, а на половину говЕнья крестЫ, пели ""ЧивилИ-чивилИ, жаворОнки летЯт...""",2012 лето,,,,
Вохом,Вохомский,Вохма,АЛЕКСЕЕВСКАЯ,30 марта по н. ст.,"А тридцатого-то марта Алексеевская, вот да, да, Алексеевская. Праздник в Вохме празднуют.",2011 авг.,,,,
