District,Short_dis,SS,Lat,Long,Comm
Антроповский,Антр,Антроповский,58.364807999999996,43.046002000000001,
Антроповский,Антр,Бедринский,58.305720,42.897735,Бедрино
Антроповский,Антр,Котельниковский,58.068048,42.749899,
Антроповский,Антр,Михайловский,57.986025,42.831004,Михайловское
Антроповский,Антр,Палкинский,58.189830,43.060240,
Антроповский,Антр,Понизовский,58.314286,43.169071,Понизье
Антроповский,Антр,Просекский,58.493427,42.851966,
Антроповский,Антр,Словинский,58.030718,43.119259,Словинка
Антроповский,Антр,Трифоновский,58.089981,42.615430,Трифон
Антроповский,Антр,Туриловский,58.205041,42.709735,Турилово
Буйский,Буй,Барановский,58.495967,41.680320,
Буйский,Буй,Боровский,58.356967,41.628451,Борок
Буйский,Буй,Воскресенский,58.502936,41.331262,Воскресенье
Буйский,Буй,Гавриловский,58.330455,41.396291,Гавриловское
Буйский,Буй,Дорский,58.387554,41.209935,Дор
Буйский,Буй,Дьяконовский,58.846186,41.416494,Дъяконово
Буйский,Буй,Елегинский,58.712668,41.921554,Елегино
Буйский,Буй,Каплинский,58.273765,41.255174,Каплино
Буйский,Буй,Контеевский,58.437796,41.393389,Контеево
Буйский,Буй,Креневский,58.554703,41.349506,Кренёво
Буйский,Буй,Куриловский,58.766640,41.326024,Курилово
Буйский,Буй,Ликургский,58.584358,41.838531,Ликурга
Буйский,Буй,Лужковский,58.347390,41.495141,Лужок
Буйский,Буй,Пилятинский,58.647325,42.062400,Пилятино
Буйский,Буй,Романцевский,58.678393,41.685872,Романцево
Буйский,Буй,Шушкодомский,58.655850,41.300827,Шушкодом
Вохомский,Вохом,Бельковский,58.902223,46.502521,
Вохомский,Вохом,Воробьевицкий,59.362758,46.746504,
Вохомский,Вохом,Вохомский,58.928963,46.776750,
Вохомский,Вохом,Заветлужский,58.782904,46.299394,Заветлужье
Вохомский,Вохом,Лапшинский,59.079639,46.654112,
Вохомский,Вохом,Малораменский,58.759962,46.565134,Малое Раменье
Вохомский,Вохом,Маручатский,59.161168,46.639532,Маручата
Вохомский,Вохом,Обуховский,58.989706,46.737054,Обухово
Вохомский,Вохом,Петрецовский,58.756979,46.332704,
Вохомский,Вохом,Семёновский,59.161661,46.747501,"нет такого сельсовета, не понятно какая деревня была центром, единственная деревня (уже мертвая) которая была в составе СС -- Филенки, здесь ее координаты"
Вохомский,Вохом,Согорский,58.993656,46.538679,Согра
Вохомский,Вохом,Сосновский,58.920955,46.664757,Сосновка
Вохомский,Вохом,Тихоновский,59.435640,46.723076,
Вохомский,Вохом,Хорошевский,58.912090,46.332946,Хорошая
Галичский,Галич,Березовский,58.625792,42.271133,
Галичский,Галич,Дмитриевский,58.259294,42.267522,
Галичский,Галич,Кабановский,58.265325,42.003273,Кабаново
Галичский,Галич,Костомский,58.326835,41.901889,Костома
Галичский,Галич,Красильниковский,58.351626,42.552934,Красильниково
